MemberID,SavingFrequency,SavingTimesPerPeriod,TotalSavingCycles,CompletedSavingCycles,UserSavingsMade,TotalCurrentSaving,IkiminaCreatedYear,UserJoinedYear,EmploymentStatus,HasGuardian,Age,RecentLoanPaymentStatus,SavingStatus,SavingRatingFactor,SavingRatio,ExpectedLoan,BoostAmount,AllowedLoan
56,daily,1,365,67,11,8283905,2022,2022,unemployed,FALSE,95,Excellent,Poor,0.2,0.16,9025747.24,4061586.26,13087333.5
57,daily,1,365,164,136,848331,2018,2020,unemployed,FALSE,95,Excellent,Better,0.8,0.83,1510443,647332.71,1696662
58,daily,1,365,358,226,4512455,2016,2024,unemployed,FALSE,95,Excellent,Good,0.6,0.63,2760412.42,516870.52,3277282.93
59,daily,1,365,297,75,1329073,2015,2018,unemployed,FALSE,95,Excellent,Poor,0.2,0.25,326674.51,89277.28,415951.79
60,daily,1,365,174,101,5668307,2016,2016,unemployed,FALSE,95,Excellent,Bad,0.4,0.58,4756165.64,2140274.54,6896440.18
61,daily,1,365,206,57,6626295,2022,2024,employed,TRUE,32,Excellent,Poor,0.2,0.28,2348153.08,920168.24,3268321.32
62,daily,1,365,37,11,5850844,2018,2021,employed,TRUE,32,Excellent,Poor,0.2,0.3,11543557.08,5256441.17,11701688
63,daily,1,365,257,142,5766195,2020,2020,employed,TRUE,32,Excellent,Bad,0.4,0.55,3275737.24,1217089.34,4492826.57
64,daily,1,365,100,35,1782158,2018,2021,employed,TRUE,32,Excellent,Poor,0.2,0.35,1300975.34,592408.41,1893383.75
65,daily,1,365,228,132,1070279,2021,2024,employed,TRUE,32,Excellent,Bad,0.4,0.58,685354.1,240850.86,926204.96
66,daily,1,365,94,54,8826338,2022,2022,unemployed,TRUE,32,Excellent,Bad,0.4,0.57,13708993.06,6340409.29,17652676
67,daily,1,365,324,78,104390,2015,2019,unemployed,TRUE,32,Excellent,Poor,0.2,0.24,23519.97,6063.65,29583.62
68,daily,1,365,274,164,7885963,2020,2020,unemployed,TRUE,32,Excellent,Bad,0.4,0.6,4202009.48,1382139.07,5584148.55
69,daily,1,365,246,40,3458743,2016,2022,unemployed,TRUE,32,Excellent,Poor,0.2,0.16,1026374.96,317404.37,1343779.32
70,daily,1,365,282,179,6785878,2017,2017,unemployed,TRUE,32,Excellent,Good,0.6,0.63,5269883.98,1693557.57,6963441.55
71,daily,1,365,348,153,6825710,2018,2018,employed,FALSE,32,Excellent,Bad,0.4,0.44,2863659.94,887076.27,3750736.21
72,daily,1,365,179,114,4867833,2015,2016,employed,FALSE,32,Excellent,Good,0.6,0.64,5955616.91,2933141.33,8888758.24
73,daily,1,365,210,94,541650,2015,2016,employed,FALSE,32,Excellent,Bad,0.4,0.45,376575.71,165738.14,542313.86
74,daily,1,365,143,138,8186401,2016,2021,employed,FALSE,32,Excellent,Better,0.8,0.97,16716287.36,7661631.71,16372802
75,daily,1,365,239,88,1563873,2016,2017,employed,FALSE,32,Excellent,Poor,0.2,0.37,477668.32,189684.96,667353.28
76,daily,1,365,101,15,5694692,2017,2017,unemployed,FALSE,32,Excellent,Poor,0.2,0.15,4115965.5,1955083.61,6071049.12
77,daily,1,365,42,11,3478654,2016,2017,unemployed,FALSE,32,Excellent,Poor,0.2,0.26,6046231.95,2821574.91,6957308
78,daily,1,365,206,142,8837148,2018,2023,unemployed,FALSE,32,Excellent,Good,0.6,0.69,9394832.1,3530554.45,12925386.54
79,daily,1,365,50,28,4330424,2015,2018,unemployed,FALSE,32,Excellent,Bad,0.4,0.56,12644838.08,5721789.23,8660848
80,daily,1,365,126,43,8302025,2015,2019,unemployed,FALSE,32,Excellent,Poor,0.2,0.34,4809903.37,2140407,6950310.37
81,daily,1,365,209,189,8154152,2016,2024,employed,TRUE,84,Excellent,Better,0.8,0.9,11392403.75,3931696.6,15324100.35
82,daily,1,365,279,275,9208176,2016,2017,employed,TRUE,84,Excellent,Better,0.8,0.99,9637230.8,3043586.02,12680816.81
83,daily,1,365,170,97,8648750,2015,2016,employed,TRUE,84,Excellent,Bad,0.4,0.57,7427750,3379626.25,10807376.25
84,daily,1,365,125,32,7374180,2020,2023,employed,TRUE,84,Excellent,Poor,0.2,0.26,4306521.12,1797972.57,6104493.69
85,daily,1,365,268,112,7704505,2015,2018,employed,TRUE,84,Excellent,Bad,0.4,0.42,4197230.34,1311164.64,5508394.98
86,daily,1,365,349,134,6130694,2017,2023,unemployed,TRUE,84,Excellent,Poor,0.2,0.38,1282351.47,244184.15,1526535.62
87,daily,1,365,288,52,9060167,2016,2017,unemployed,TRUE,84,Excellent,Poor,0.2,0.18,2296500.66,649080.4,2945581.06
88,daily,1,365,351,184,7743278,2016,2016,unemployed,TRUE,84,Excellent,Bad,0.4,0.52,3220850.68,790645.43,4011496.11
89,daily,1,365,225,116,972754,2023,2024,unemployed,TRUE,84,Excellent,Bad,0.4,0.52,631209.26,204792.34,836001.6
90,daily,1,365,233,157,1284235,2016,2016,unemployed,TRUE,84,Excellent,Good,0.6,0.67,1207070.67,423446.09,1630516.75
91,daily,1,365,147,41,4520980,2021,2024,employed,FALSE,84,Excellent,Poor,0.2,0.28,2245112.52,940140.87,3185253.38
92,daily,1,365,271,88,7628338,2015,2023,employed,FALSE,84,Excellent,Poor,0.2,0.32,2054865.96,584347.77,2639213.72
93,daily,1,365,158,139,5892004,2021,2023,employed,FALSE,84,Excellent,Better,0.8,0.88,10889020.05,4763946.27,11784008
94,daily,1,365,93,90,7815491,2017,2021,employed,FALSE,84,Excellent,Better,0.8,0.97,24538960.99,10735795.43,15630982
95,daily,1,365,177,114,7938242,2015,2016,employed,FALSE,84,Excellent,Good,0.6,0.64,9821892.64,4591734.81,14413627.46
96,daily,1,365,0,0,0,2020,2020,unemployed,FALSE,84,Excellent,Poor,0.2,0,0,0,0
97,daily,1,365,57,40,5071164,2015,2024,unemployed,FALSE,84,Excellent,Good,0.6,0.7,19483945.89,7452609.3,10142328
98,daily,1,365,53,24,9170997,2016,2016,unemployed,FALSE,84,Excellent,Bad,0.4,0.45,25263501.17,11368575.53,18341994
99,daily,1,365,232,54,3342716,2016,2018,unemployed,FALSE,84,Excellent,Poor,0.2,0.23,1051802.88,366015.31,1417818.19
100,daily,1,365,227,51,7868039,2023,2023,unemployed,FALSE,84,Excellent,Poor,0.2,0.22,2530250.43,940205.39,3470455.82
101,daily,1,365,195,165,5299748,2021,2024,employed,TRUE,61,Excellent,Better,0.8,0.85,7936032.9,3159405.92,10599496
102,daily,1,365,277,37,1312126,2016,2017,employed,TRUE,61,Excellent,Poor,0.2,0.13,345794.94,115912.04,461706.98
103,daily,1,365,208,24,5664255,2019,2021,employed,TRUE,61,Excellent,Poor,0.2,0.12,1987935.65,807025.41,2794961.06
104,daily,1,365,344,208,3618833,2017,2023,employed,TRUE,61,Excellent,Good,0.6,0.6,2303850.08,543614.86,2847464.94
105,daily,1,365,137,13,9254177,2020,2022,employed,TRUE,61,Excellent,Poor,0.2,0.09,4931057.82,2218976.02,7150033.84
106,daily,1,365,123,117,4557209,2016,2022,unemployed,TRUE,61,Excellent,Better,0.8,0.95,10818740.07,4381589.73,9114418
107,daily,1,365,293,114,8316282,2015,2018,unemployed,TRUE,61,Excellent,Poor,0.2,0.39,2071974.7,583564.96,2655539.65
108,daily,1,365,77,67,6379369,2016,2017,unemployed,TRUE,61,Excellent,Better,0.8,0.87,24191892.83,10805712.13,12758738
109,daily,1,365,364,81,8416461,2015,2017,unemployed,TRUE,61,Excellent,Poor,0.2,0.22,1687916.63,406027.42,2093944.05
110,daily,1,365,63,40,915075,2017,2017,unemployed,TRUE,61,Excellent,Good,0.6,0.63,3180975,1447343.62,1830150
111,daily,1,365,251,75,1987580,2015,2018,employed,FALSE,61,Excellent,Poor,0.2,0.3,578061.12,208585.64,786646.75
112,daily,1,365,95,74,6151002,2022,2022,employed,FALSE,61,Excellent,Good,0.6,0.78,14179678.29,6983491.56,12302004
113,daily,1,365,194,185,6188184,2015,2018,employed,FALSE,61,Excellent,Better,0.8,0.95,9314173.86,4156810.17,12376368
114,daily,1,365,0,0,0,2016,2022,employed,FALSE,61,Excellent,Poor,0.2,0,0,0,0
115,daily,1,365,316,89,6960478,2017,2022,employed,FALSE,61,Excellent,Poor,0.2,0.28,1607958.53,444821.88,2052780.41
116,daily,1,365,173,43,7240229,2017,2022,unemployed,FALSE,61,Excellent,Poor,0.2,0.25,3055125.53,1285062.18,4340187.71
117,daily,1,365,315,182,3299443,2018,2024,unemployed,FALSE,61,Excellent,Bad,0.4,0.58,1529265.64,359316.74,1888582.39
118,daily,1,365,330,147,7222723,2021,2024,unemployed,FALSE,61,Excellent,Bad,0.4,0.45,3195507.75,742834.51,3938342.26
119,daily,1,365,124,58,1182482,2018,2021,unemployed,FALSE,61,Excellent,Bad,0.4,0.47,1392277.19,606137.82,1998415.01
120,daily,1,365,133,125,9393699,2017,2017,unemployed,FALSE,61,Excellent,Better,0.8,0.94,20623760.21,9641607.9,18787398
121,daily,1,365,0,0,0,2018,2022,employed,TRUE,18,Excellent,Poor,0.2,0,0,0,0
122,daily,1,365,320,270,4347465,2015,2022,employed,TRUE,18,Excellent,Better,0.8,0.84,3967061.81,984327.21,4951389.02
123,daily,1,365,50,12,983576,2021,2022,employed,TRUE,18,Excellent,Poor,0.2,0.24,1436020.96,651594.51,1967152
124,daily,1,365,223,126,7663026,2020,2023,employed,TRUE,18,Excellent,Bad,0.4,0.57,5017048.41,1780321,6797369.41
125,daily,1,365,342,35,5549089,2017,2022,employed,TRUE,18,Excellent,Poor,0.2,0.1,1184454.67,283173.85,1467628.52
126,daily,1,365,72,8,7657883,2017,2017,unemployed,TRUE,18,Excellent,Poor,0.2,0.11,7764242.49,3474498.51,11238741
127,daily,1,365,312,277,5124958,2020,2020,unemployed,TRUE,18,Excellent,Better,0.8,0.89,4796435.05,1350073.48,6146508.53
128,daily,1,365,203,54,4207073,2023,2024,unemployed,TRUE,18,Excellent,Poor,0.2,0.27,1512888.32,559172.47,2072060.79
129,daily,1,365,186,155,4714136,2016,2021,unemployed,TRUE,18,Excellent,Better,0.8,0.83,7400686.62,2947741.23,9428272
130,daily,1,365,133,109,4783818,2016,2017,unemployed,TRUE,18,Excellent,Better,0.8,0.82,10502818.47,4612487.78,9567636
131,daily,1,365,201,147,9926878,2016,2017,employed,FALSE,18,Excellent,Good,0.6,0.73,10815852.15,4757360.64,15573212.79
132,daily,1,365,313,301,1255698,2018,2022,employed,FALSE,18,Excellent,Better,0.8,0.96,1171449.89,322581.8,1494031.69
133,daily,1,365,45,30,3431953,2015,2016,employed,FALSE,18,Excellent,Good,0.6,0.67,16702171.27,7975286.78,6863906
134,daily,1,365,257,247,9590241,2020,2021,employed,FALSE,18,Excellent,Better,0.8,0.96,10896304.95,3857800.73,14754105.68
135,daily,1,365,119,49,7377516,2023,2024,employed,FALSE,18,Excellent,Bad,0.4,0.41,9051406.18,4050504.27,13101910.45
136,daily,1,365,156,96,349663,2018,2023,unemployed,FALSE,18,Excellent,Good,0.6,0.62,490873.06,199504.84,690377.89
137,daily,1,365,350,322,4108253,2016,2021,unemployed,FALSE,18,Excellent,Better,0.8,0.92,3427456.79,777706.27,4205163.06
138,daily,1,365,364,307,3810446,2015,2016,unemployed,FALSE,18,Excellent,Better,0.8,0.84,3056731.41,773504.2,3830235.61
139,daily,1,365,64,15,6812634,2015,2019,unemployed,FALSE,18,Excellent,Poor,0.2,0.23,7770660.66,3341384.08,11112044.74
140,daily,1,365,58,55,2882264,2015,2024,unemployed,FALSE,18,Excellent,Better,0.8,0.95,14510708.41,5695453.05,5764528
141,daily,1,365,52,23,959648,2018,2023,employed,TRUE,96,Excellent,Bad,0.4,0.44,2694396.31,1101815.63,1919296
142,daily,1,365,303,33,3059205,2019,2022,employed,TRUE,96,Excellent,Poor,0.2,0.11,737036.19,195995.68,933031.87
143,daily,1,365,89,56,213843,2015,2016,employed,TRUE,96,Excellent,Good,0.6,0.63,526197.94,239420.06,427686
144,daily,1,365,333,259,4979626,2020,2020,employed,TRUE,96,Excellent,Good,0.6,0.78,3274889.17,922599.22,4197488.39
145,daily,1,365,140,64,5734952,2016,2024,employed,TRUE,96,Excellent,Bad,0.4,0.46,5980735.66,2367374.53,8348110.19
146,daily,1,365,235,123,6868514,2019,2024,unemployed,TRUE,96,Excellent,Bad,0.4,0.52,4267247,1218889.17,5486136.16
147,daily,1,365,308,184,5499765,2018,2020,unemployed,TRUE,96,Excellent,Bad,0.4,0.6,2607031.46,659799.03,3266830.49
148,daily,1,365,110,25,341540,2020,2020,unemployed,TRUE,96,Excellent,Poor,0.2,0.23,226658.36,99163.03,325821.4
149,daily,1,365,99,56,7468374,2016,2017,unemployed,TRUE,96,Excellent,Bad,0.4,0.57,11013965.7,4726826.94,14936748
150,daily,1,365,137,98,2519177,2020,2023,unemployed,TRUE,96,Excellent,Good,0.6,0.72,4027005.57,1580599.69,5038354
151,daily,1,365,363,334,8947318,2016,2024,employed,FALSE,96,Excellent,Better,0.8,0.92,7197291.61,1507366.65,8704658.27
152,daily,1,365,0,0,0,2020,2024,employed,FALSE,96,Excellent,Poor,0.2,0,0,0,0
153,daily,1,365,347,189,6723050,2016,2016,employed,FALSE,96,Excellent,Bad,0.4,0.54,2828718.44,807244.51,3635962.95
154,daily,1,365,247,59,3565973,2018,2024,employed,FALSE,96,Excellent,Poor,0.2,0.24,1053911.05,322771.69,1376682.74
155,daily,1,365,204,113,997425,2015,2021,employed,FALSE,96,Excellent,Bad,0.4,0.55,713843.38,276859.26,990702.64
156,daily,1,365,0,0,0,2017,2017,unemployed,FALSE,96,Excellent,Poor,0.2,0,0,0,0
157,daily,1,365,217,40,4046123,2016,2019,unemployed,FALSE,96,Excellent,Poor,0.2,0.18,1361138.15,491922.86,1853061.01
158,daily,1,365,145,132,6939243,2020,2020,unemployed,FALSE,96,Excellent,Better,0.8,0.91,13974199.7,6288389.86,13878486
159,daily,1,365,320,192,943840,2015,2020,unemployed,FALSE,96,Excellent,Good,0.6,0.6,645940.5,155429.43,801369.93
160,daily,1,365,160,63,2564450,2016,2024,unemployed,FALSE,96,Excellent,Poor,0.2,0.39,1170030.31,448511.62,1618541.93
161,daily,1,365,0,0,0,2021,2021,employed,TRUE,59,Excellent,Poor,0.2,0,0,0,0
162,daily,1,365,259,159,9365604,2020,2021,employed,TRUE,59,Excellent,Good,0.6,0.61,7919178.67,2746793.11,10665971.78
163,daily,1,365,0,0,0,2019,2020,employed,TRUE,59,Excellent,Poor,0.2,0,0,0,0
164,daily,1,365,106,74,1656891,2016,2019,employed,TRUE,59,Excellent,Good,0.6,0.7,3423199.33,1557555.7,3313782
165,daily,1,365,159,124,6200679,2015,2022,employed,TRUE,59,Excellent,Good,0.6,0.78,8540557.87,3651088.49,12191646.36
166,daily,1,365,71,69,5312739,2015,2019,unemployed,TRUE,59,Excellent,Better,0.8,0.97,21849574.48,9286069.15,10625478
167,daily,1,365,66,62,5756007,2023,2024,unemployed,TRUE,59,Excellent,Better,0.8,0.94,25465970.36,10632042.63,11512014
168,daily,1,365,79,29,6137990,2016,2022,unemployed,TRUE,59,Excellent,Poor,0.2,0.37,5671813.54,2297084.49,7968898.03
169,daily,1,365,278,228,5445524,2016,2019,unemployed,TRUE,59,Excellent,Better,0.8,0.82,5719759.02,1673543.88,7393302.9
170,daily,1,365,115,54,2691578,2019,2019,unemployed,TRUE,59,Excellent,Bad,0.4,0.47,3417133.81,1554795.88,4971929.69
171,daily,1,365,253,122,3443687,2015,2024,employed,FALSE,59,Excellent,Bad,0.4,0.48,1987266.02,623082.52,2610348.53
172,daily,1,365,319,138,826916,2021,2023,employed,FALSE,59,Excellent,Bad,0.4,0.43,378463.12,107423.02,485886.14
173,daily,1,365,242,155,7276084,2018,2019,employed,FALSE,59,Excellent,Good,0.6,0.64,6584555.36,2524772.73,9109328.09
174,daily,1,365,124,85,9331698,2020,2024,employed,FALSE,59,Excellent,Good,0.6,0.69,16480982.76,7128025.04,18663396
175,daily,1,365,121,84,6759470,2015,2019,employed,FALSE,59,Excellent,Good,0.6,0.69,12234082.07,5658262.96,13518940
176,daily,1,365,307,93,1090537,2015,2022,unemployed,FALSE,59,Excellent,Poor,0.2,0.3,259313.36,65550.53,324863.89
177,daily,1,365,341,233,7242405,2015,2021,unemployed,FALSE,59,Excellent,Good,0.6,0.68,4651280.63,1100382.51,5751663.14
178,daily,1,365,274,57,5967253,2024,2024,unemployed,FALSE,59,Excellent,Poor,0.2,0.21,1589815.58,530876.56,2120692.14
179,daily,1,365,257,71,9436933,2016,2016,unemployed,FALSE,59,Excellent,Poor,0.2,0.28,2680529.61,942331.32,3622860.92
180,daily,1,365,91,67,60684,2020,2022,unemployed,FALSE,59,Excellent,Good,0.6,0.74,146041.71,63893.25,121368
181,daily,1,365,206,76,2117655,2018,2024,employed,TRUE,95,Excellent,Poor,0.2,0.37,750431.14,264589.43,1015020.57
182,daily,1,365,203,135,6790430,2018,2023,employed,TRUE,95,Excellent,Good,0.6,0.67,7325636.31,2699749.59,10025385.89
183,daily,1,365,184,120,2784044,2015,2022,employed,TRUE,95,Excellent,Good,0.6,0.65,3313617.59,1347777.94,4661395.52
184,daily,1,365,129,51,5667471,2016,2017,employed,TRUE,95,Excellent,Poor,0.2,0.4,3207173.51,1456591.3,4663764.81
185,daily,1,365,314,217,7434172,2022,2023,employed,TRUE,95,Excellent,Good,0.6,0.69,5184979.83,1399861.99,6584841.83
186,daily,1,365,326,57,1936769,2016,2021,unemployed,TRUE,95,Excellent,Poor,0.2,0.17,433693.67,95308.4,529002.07
187,daily,1,365,40,34,4740628,2015,2021,unemployed,TRUE,95,Excellent,Better,0.8,0.85,34606584.4,13583084.38,9481256
188,daily,1,365,220,131,5504009,2016,2020,unemployed,TRUE,95,Excellent,Bad,0.4,0.6,3652660.52,1227238.59,4879899.11
189,daily,1,365,315,311,455517,2017,2017,unemployed,TRUE,95,Excellent,Better,0.8,0.99,422257.03,113691.03,535948.06
190,daily,1,365,133,20,7767545,2020,2021,unemployed,TRUE,95,Excellent,Poor,0.2,0.15,4263389.36,1801282,6064671.37
191,daily,1,365,0,0,0,2021,2024,employed,FALSE,95,Excellent,Poor,0.2,0,0,0,0
192,daily,1,365,292,197,3109652,2021,2022,employed,FALSE,95,Excellent,Good,0.6,0.67,2332239,714248.19,3046487.19
193,daily,1,365,343,221,1221821,2017,2024,employed,FALSE,95,Excellent,Good,0.6,0.64,780113.12,173343.47,953456.58
194,daily,1,365,240,184,2914566,2022,2022,employed,FALSE,95,Excellent,Good,0.6,0.77,2659541.48,1008409.48,3667950.95
195,daily,1,365,80,17,7438887,2016,2024,employed,FALSE,95,Excellent,Poor,0.2,0.21,6787984.39,2771760.29,9559744.68
196,daily,1,365,0,0,0,2015,2018,unemployed,FALSE,95,Excellent,Poor,0.2,0,0,0,0
197,daily,1,365,65,31,4728330,2015,2018,unemployed,FALSE,95,Excellent,Bad,0.4,0.48,10620556.62,4540287.95,9456660
198,daily,1,365,158,32,4977212,2015,2016,unemployed,FALSE,95,Excellent,Poor,0.2,0.2,2299597.95,1017572.09,3317170.04
199,daily,1,365,323,318,4046367,2017,2017,unemployed,FALSE,95,Excellent,Better,0.8,0.98,3658015.99,1009635.06,4667651.05
200,daily,1,365,122,88,1055342,2016,2021,unemployed,FALSE,95,Excellent,Good,0.6,0.72,1894425.39,773557.04,2110684
201,daily,1,365,109,70,5450434,2019,2022,employed,TRUE,79,Excellent,Good,0.6,0.64,10950871.98,4654120.59,10900868
202,daily,1,365,344,83,9240614,2016,2019,employed,TRUE,79,Excellent,Poor,0.2,0.24,1960944.25,489666.02,2450610.27
203,daily,1,365,337,60,1904637,2017,2019,employed,TRUE,79,Excellent,Poor,0.2,0.18,412577.15,107421.56,519998.72
204,daily,1,365,46,13,7569919,2018,2019,employed,TRUE,79,Excellent,Poor,0.2,0.28,12013132.33,5427361.57,15139838
205,daily,1,365,197,133,1759562,2015,2019,employed,TRUE,79,Excellent,Good,0.6,0.68,1956061.31,788406.89,2744468.2
206,daily,1,365,177,151,7908908,2017,2021,unemployed,TRUE,79,Excellent,Better,0.8,0.85,13047464.05,5218985.62,15817816
